"Jul.Day","YYYY/MM/DD","Wdy","RUB/USD"
2457025,"2015/01/02","Fri",58.787
2457028,"2015/01/05","Mon",60.169
2457029,"2015/01/06","Tue",62.654
2457030,"2015/01/07","Wed",63.172
2457031,"2015/01/08","Thu",59.990
2457032,"2015/01/09","Fri",61.949
2457035,"2015/01/12","Mon",63.122
2457036,"2015/01/13","Tue",65.793
2457037,"2015/01/14","Wed",66.030
2457038,"2015/01/15","Thu",64.742
2457039,"2015/01/16","Fri",65.071
2457042,"2015/01/19","Mon",64.821
2457043,"2015/01/20","Tue",65.430
2457044,"2015/01/21","Wed",65.298
2457045,"2015/01/22","Thu",64.499
2457046,"2015/01/23","Fri",63.703
2457049,"2015/01/26","Mon",66.369
2457050,"2015/01/27","Tue",66.940
2457051,"2015/01/28","Wed",67.964
2457052,"2015/01/29","Thu",69.244
2457053,"2015/01/30","Fri",70.415
2457056,"2015/02/02","Mon",68.470
2457057,"2015/02/03","Tue",66.255
2457058,"2015/02/04","Wed",67.364
2457059,"2015/02/05","Thu",66.499
2457060,"2015/02/06","Fri",67.076
2457063,"2015/02/09","Mon",65.619
2457064,"2015/02/10","Tue",66.356
2457065,"2015/02/11","Wed",66.186
2457066,"2015/02/12","Thu",65.486
2457067,"2015/02/13","Fri",63.321
2457071,"2015/02/17","Tue",62.895
2457072,"2015/02/18","Wed",61.446
2457073,"2015/02/19","Thu",62.089
2457074,"2015/02/20","Fri",61.972
2457077,"2015/02/23","Mon",63.375
2457078,"2015/02/24","Tue",62.826
2457079,"2015/02/25","Wed",62.033
2457080,"2015/02/26","Thu",61.076
2457081,"2015/02/27","Fri",61.982
2457084,"2015/03/02","Mon",62.208
2457085,"2015/03/03","Tue",61.919
2457086,"2015/03/04","Wed",62.107
2457087,"2015/03/05","Thu",60.799
2457088,"2015/03/06","Fri",60.537
2457091,"2015/03/09","Mon",60.364
2457092,"2015/03/10","Tue",62.109
2457093,"2015/03/11","Wed",62.142
2457094,"2015/03/12","Thu",61.161
2457095,"2015/03/13","Fri",61.701
2457098,"2015/03/16","Mon",62.390
2457099,"2015/03/17","Tue",61.656
2457100,"2015/03/18","Wed",61.076
2457101,"2015/03/19","Thu",59.747
2457102,"2015/03/20","Fri",59.523
2457105,"2015/03/23","Mon",58.788
2457106,"2015/03/24","Tue",57.814
2457107,"2015/03/25","Wed",57.690
2457108,"2015/03/26","Thu",57.128
2457109,"2015/03/27","Fri",57.839
2457112,"2015/03/30","Mon",57.809
2457113,"2015/03/31","Tue",58.179
2457114,"2015/04/01","Wed",57.589
2457115,"2015/04/02","Thu",56.613
2457119,"2015/04/06","Mon",55.367
2457120,"2015/04/07","Tue",55.135
2457121,"2015/04/08","Wed",53.682
2457122,"2015/04/09","Thu",52.680
2457123,"2015/04/10","Fri",52.283
2457126,"2015/04/13","Mon",52.640
2457127,"2015/04/14","Tue",51.160
2457128,"2015/04/15","Wed",50.219
2457129,"2015/04/16","Thu",50.148
2457130,"2015/04/17","Fri",52.440
2457133,"2015/04/20","Mon",53.293
2457134,"2015/04/21","Tue",53.482
2457135,"2015/04/22","Wed",52.620
2457136,"2015/04/23","Thu",50.974
2457137,"2015/04/24","Fri",51.118
